image_index,image,label,gt,predictions,tp,fp,fn,error_score
48,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1189.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1189.txt,4,4,3,1,1,2
49,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1191.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1191.txt,1,2,1,1,0,1
50,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1192.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1192.txt,1,2,1,1,0,1
51,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1194.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1194.txt,1,1,1,0,0,0
52,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1195.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1195.txt,1,1,1,0,0,0
53,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1196.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1196.txt,2,1,1,0,1,1
54,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1197.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1197.txt,3,3,3,0,0,0
55,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1198.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1198.txt,2,3,2,1,0,1
56,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1199.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1199.txt,4,3,3,0,1,1
57,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image13.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image13.txt,3,2,0,2,3,5
58,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1360.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1360.txt,2,2,1,1,1,2
59,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1361.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1361.txt,1,1,1,0,0,0
60,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1362.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1362.txt,1,1,1,0,0,0
61,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1363.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1363.txt,1,1,1,0,0,0
62,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1364.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1364.txt,1,1,1,0,0,0
63,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1365.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1365.txt,1,1,1,0,0,0
64,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1366.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1366.txt,1,2,1,1,0,1
65,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1367.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1367.txt,2,5,2,3,0,3
