model,split,threshold,gt,predictions,tp,fp,fn,precision,recall,f1,tiny_tp,tiny_fn,tiny_recall,small_tp,small_fn,small_recall,tiny_small_tp,tiny_small_fn,tiny_small_recall,medium_large_recall
baseline,test,0.49,840,775,695,80,145,0.896774193548387,0.8273809523809523,0.8606811145510835,20,9,0.6896551724137931,82,32,0.7192982456140351,102,41,0.7132867132867133,0.8507890961262554
baseline,test,0.5,840,772,693,79,147,0.8976683937823834,0.825,0.859801488833747,20,9,0.6896551724137931,82,32,0.7192982456140351,102,41,0.7132867132867133,0.8479196556671449
rep_deploy,val,0.001,834,8108,783,7325,51,0.09657128761716822,0.9388489208633094,0.17512860657571014,21,10,0.6774193548387096,93,6,0.9393939393939394,114,16,0.8769230769230769,0.9502840909090909
rep_deploy,val,0.01,834,2405,764,1641,70,0.3176715176715177,0.9160671462829736,0.4717505402902131,20,11,0.6451612903225806,91,8,0.9191919191919192,111,19,0.8538461538461538,0.9275568181818182
rep_deploy,val,0.02,834,1794,753,1041,81,0.4197324414715719,0.9028776978417267,0.5730593607305936,20,11,0.6451612903225806,89,10,0.898989898989899,109,21,0.8384615384615385,0.9147727272727273
rep_deploy,val,0.03,834,1557,748,809,86,0.48041104688503533,0.8968824940047961,0.6256796319531577,19,12,0.6129032258064516,89,10,0.898989898989899,108,22,0.8307692307692308,0.9090909090909091
rep_deploy,val,0.04,834,1426,745,681,89,0.5224403927068724,0.8932853717026379,0.6592920353982301,19,12,0.6129032258064516,89,10,0.898989898989899,108,22,0.8307692307692308,0.9048295454545454
rep_deploy,val,0.05,834,1328,741,587,93,0.5579819277108434,0.8884892086330936,0.6854764107308049,19,12,0.6129032258064516,88,11,0.8888888888888888,107,23,0.823076923076923,0.9005681818181818
rep_deploy,val,0.06,834,1253,735,518,99,0.5865921787709497,0.8812949640287769,0.7043603258265452,19,12,0.6129032258064516,86,13,0.8686868686868687,105,25,0.8076923076923077,0.8948863636363636
rep_deploy,val,0.07,834,1185,733,452,101,0.6185654008438819,0.8788968824940048,0.7261020307082715,19,12,0.6129032258064516,86,13,0.8686868686868687,105,25,0.8076923076923077,0.8920454545454546
rep_deploy,val,0.08,834,1144,730,414,104,0.6381118881118881,0.8752997601918465,0.7381193124368048,18,13,0.5806451612903226,86,13,0.8686868686868687,104,26,0.8,0.8892045454545454
rep_deploy,val,0.09,834,1111,729,382,105,0.6561656165616562,0.8741007194244604,0.7496143958868895,18,13,0.5806451612903226,86,13,0.8686868686868687,104,26,0.8,0.8877840909090909
rep_deploy,val,0.1,834,1078,726,352,108,0.673469387755102,0.8705035971223022,0.7594142259414226,18,13,0.5806451612903226,86,13,0.8686868686868687,104,26,0.8,0.8835227272727273
rep_deploy,val,0.11,834,1051,723,328,111,0.6879162702188392,0.8669064748201439,0.7671087533156499,18,13,0.5806451612903226,86,13,0.8686868686868687,104,26,0.8,0.8792613636363636
rep_deploy,val,0.12,834,1018,719,299,115,0.706286836935167,0.8621103117505995,0.7764578833693306,18,13,0.5806451612903226,86,13,0.8686868686868687,104,26,0.8,0.8735795454545454
rep_deploy,val,0.13,834,997,719,278,115,0.7211634904714143,0.8621103117505995,0.7853631895139268,18,13,0.5806451612903226,86,13,0.8686868686868687,104,26,0.8,0.8735795454545454
rep_deploy,val,0.14,834,980,719,261,115,0.7336734693877551,0.8621103117505995,0.7927232635060639,18,13,0.5806451612903226,86,13,0.8686868686868687,104,26,0.8,0.8735795454545454
rep_deploy,val,0.15,834,964,718,246,116,0.7448132780082988,0.8609112709832134,0.7986651835372637,18,13,0.5806451612903226,86,13,0.8686868686868687,104,26,0.8,0.8721590909090909
rep_deploy,val,0.16,834,948,712,236,122,0.7510548523206751,0.8537170263788969,0.7991021324354657,18,13,0.5806451612903226,84,15,0.8484848484848485,102,28,0.7846153846153846,0.8664772727272727
rep_deploy,val,0.17,834,936,710,226,124,0.7585470085470085,0.8513189448441247,0.8022598870056497,18,13,0.5806451612903226,84,15,0.8484848484848485,102,28,0.7846153846153846,0.8636363636363636
rep_deploy,val,0.18,834,926,707,219,127,0.7634989200863931,0.8477218225419664,0.8034090909090909,17,14,0.5483870967741935,84,15,0.8484848484848485,101,29,0.7769230769230769,0.8607954545454546
rep_deploy,val,0.19,834,920,706,214,128,0.7673913043478261,0.8465227817745803,0.8050171037628279,17,14,0.5483870967741935,83,16,0.8383838383838383,100,30,0.7692307692307693,0.8607954545454546
rep_deploy,val,0.2,834,904,704,200,130,0.7787610619469026,0.8441247002398081,0.810126582278481,17,14,0.5483870967741935,82,17,0.8282828282828283,99,31,0.7615384615384615,0.859375
rep_deploy,val,0.21,834,895,703,192,131,0.7854748603351955,0.842925659472422,0.8131868131868133,17,14,0.5483870967741935,82,17,0.8282828282828283,99,31,0.7615384615384615,0.8579545454545454
